CustomerID,AddressID,AddressType,ModifiedDate,NameStyle,Title,FirstName,MiddleName,LastName,CompanyName,SalesPerson,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode,Counter,RecordMode
29842,1094,Main Office,2005-09-01 00:00:00,0,Mr.,Mike,,Hines,First Cycle Store,adventure-worksshu0,25250 N 90th St,,Scottsdale,Arizona,United States,85257,1,N
29690,1036,Main Office,2005-09-01 00:00:00,0,Mr.,Conor,,Cunningham,Fashionable Bikes and Accessories,adventure-worksshu0,Sports Store At Park City,,Park City,Utah,United States,84098,1,N
129842,101094,Main Office,2005-09-01 00:00:00,0,Mr.,Mike,,Hines,First Cycle Store,adventure-worksshu0,25250 N 90th St,,Scottsdale,Arizona,United States,85257,1,N
129690,101036,Main Office,2005-09-01 00:00:00,0,Mr.,Conor,,Cunningham,Fashionable Bikes and Accessories,adventure-worksshu0,Sports Store At Park City,,Park City,Utah,United States,84098,1,N
229842,201094,Main Office,2005-09-01 00:00:00,0,Mr.,Mike,,Hines,First Cycle Store,adventure-worksshu0,25250 N 90th St,,Scottsdale,Arizona,United States,85257,1,N
229690,201036,Main Office,2005-09-01 00:00:00,0,Mr.,Conor,,Cunningham,Fashionable Bikes and Accessories,adventure-worksshu0,Sports Store At Park City,,Park City,Utah,United States,84098,1,N
329842,301094,Main Office,2005-09-01 00:00:00,0,Mr.,Mike,,Hines,First Cycle Store,adventure-worksshu0,25250 N 90th St,,Scottsdale,Arizona,United States,85257,1,N
329690,301036,Main Office,2005-09-01 00:00:00,0,Mr.,Conor,,Cunningham,Fashionable Bikes and Accessories,adventure-worksshu0,Sports Store At Park City,,Park City,Utah,United States,84098,1,N
429842,401094,Main Office,2005-09-01 00:00:00,0,Mr.,Mike,,Hines,First Cycle Store,adventure-worksshu0,25250 N 90th St,,Scottsdale,Arizona,United States,85257,1,N
429690,401036,Main Office,2005-09-01 00:00:00,0,Mr.,Conor,,Cunningham,Fashionable Bikes and Accessories,adventure-worksshu0,Sports Store At Park City,,Park City,Utah,United States,84098,1,N
